#build label(workshops) start(8;2;center of wagon) basic post embark workshops
`,` ,`,`,` ,`,~,~,~,`,` ,`,`,` ,`,#
`,wc,`,`,wt,`,~,~,~,`,wm,`,`,wr,`,#
`,` ,`,`,` ,`,~,~,~,`,` ,`,`,` ,`,#
#,# ,#,#,# ,#,#,#,#,#,# ,#,#,# ,#,#
#place label(stockpiles) basic post embark stockpiles
w(5x10), , , , ,s(5x1) , , , , ,p(5x1), , , , ,#
       , , , , ,g(5x4) , , , , ,d(5x1), , , , ,#
       , , , , ,       , , , , ,f(5x3), , , , ,#
       , , , , ,       , , , , ,      , , , , ,#
       , , , , ,       , , , , ,      , , , , ,#
       , , , , ,u(10x5), , , , ,      , , , , ,#
       , , , , ,       , , , , ,      , , , , ,#
       , , , , ,       , , , , ,      , , , , ,#
       , , , , ,       , , , , ,      , , , , ,#
       , , , , ,       , , , , ,      , , , , ,#
#      ,#,#,#,#,#      ,#,#,#,#,#     ,#,#,#,#,#
