"#dig exploratory mining, paths every 10 units, 100w x 10h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,d,,,,,,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
