#dig start(6;6) room for 24 corpses
d, ,d, ,d, ,d, ,d, ,d,#
d,d,d,d,d,d,d,d,d,d,d,#
d, ,d, ,d,d,d, ,d, ,d,#
 , , , ,d,d,d, , , , ,#
d, ,d,d,i,i,i,d,d, ,d,#
d,d,d,d,i,i,i,d,d,d,d,#
d, ,d,d,i,i,i,d,d, ,d,#
 , , , ,d,d,d, , , , ,#
d, ,d, ,d,d,d, ,d, ,d,#
d,d,d,d,d,d,d,d,d,d,d,#
d, ,d, ,d, ,d, ,d, ,d,#
#,#,#,#,#,#,#,#,#,#,#,#
#build label(urns) start(6;6) 24 urns (use burial script to mark them as usable)
n, ,n, ,n, ,n, ,n, ,n,#
`,`,`,`,`,`,`,`,`,`,`,#
n, ,n, ,`,`,`, ,n, ,n,#
 , , , ,`,`,`, , , , ,#
n, ,`,`,~,~,~,`,`, ,n,#
`,`,`,`,~,~,~,`,`,`,`,#
n, ,`,`,~,~,~,`,`, ,n,#
 , , , ,`,`,`, , , , ,#
n, ,n, ,`,`,`, ,n, ,n,#
`,`,`,`,`,`,`,`,`,`,`,#
n, ,n, ,n, ,n, ,n, ,n,#
#,#,#,#,#,#,#,#,#,#,#,#
